题号,题目,类型,难度,介绍,思路,第一轮完成情况,第二轮完成情况,题目链接
1,两数之和,哈希表,easy,"给定一个整数数组 nums 和一个目标值 target，请你在该数组中找出和为目标值的那 两个 整数，并返回他们的数组下标。 你可以假设每种输入只会对应一个答案。但是，你不能重复利用这个数组中同样的元素。
","哈希表，O(n), O(n)",√,,https://leetcode-cn.com/problems/two-sum/
206,反转链表,链表,easy,反转一个单链表。,"1.迭代：转化成vector再转化回链表  
2.也可以递归",√√,,https://leetcode-cn.com/problems/reverse-linked-list
53,最大子序和,分治法、动态规划,easy,给定一个整数数组 nums ，找到一个具有最大和的连续子数组（子数组最少包含一个元素），返回其最大和。,"1.暴力法：O(n^2), O(1) 
2.动态规划：O(n), O(1) 
3.分治法没看",√,,https://leetcode-cn.com/problems/maximum-subarray
21,合并两个有序链表,链表,easy,将两个有序链表合并为一个新的有序链表并返回。新链表是通过拼接给定的两个链表的所有节点组成的。 ,"直接迭代归并，O(n+m), O(1)",√√,,https://leetcode-cn.com/problems/merge-two-sorted-lists
70,爬楼梯,动态规划,easy,假设你正在爬楼梯。需要 n 阶你才能到达楼顶。每次你可以爬 1 或 2 个台阶。你有多少种不同的方法可以爬到楼顶呢？,"动态规划。dp[n] = dp[n-1]+dp[n-2]，O(n), O(n)",√√,,https://leetcode-cn.com/problems/climbing-stairs
20,有效的括号,栈、字符串,easy,给定一个只包括 '('，')'，'{'，'}'，'['，']' 的字符串，判断字符串是否有效。,"使用栈读取，当读取到右括号并且栈顶为对应的左括号则弹出，否则压入栈。O(n), O(n)",√√,,https://leetcode-cn.com/problems/valid-parentheses
88,合并两个有序数组,数组、双指针,easy,给定两个有序整数数组 nums1 和 nums2，将 nums2 合并到 nums1 中，使得 num1 成为一个有序数组。,"1. 创建新数组直接归并，O(m+n), O(m+n)
2. 双指针法从前往后，先将nums1中m个存起来，把结果存回nums1，空间优化为O(m)
3. 双指针法从后往前，不需要使用额外空间",√,,https://leetcode-cn.com/problems/merge-sorted-array
121,买卖股票的最佳时机,数组、动态规划,easy,"给定一个数组，它的第 i 个元素是一支给定股票第 i 天的价格。
如果你最多只允许完成一笔交易（即买入和卖出一支股票），设计一个算法来计算你所能获取的最大利润。","动态规划，跟53最大子序和很像。O(n), O(1)",√√,,https://leetcode-cn.com/problems/best-time-to-buy-and-sell-stock
7,整数反转,数学,easy,给出一个 32 位的有符号整数，你需要将这个整数中每位上的数字进行反转。,"关键在于检查溢出。转换后的数范围依然要在[-2^31, 2^31-1]之间，也就是[INT_MIN, INT_MAX]",√,,https://leetcode-cn.com/problems/reverse-integer
202,快乐数,哈希表、数学,easy,一个“快乐数”定义为：对于一个正整数，每一次将该数替换为它每个位置上的数字的平方和，然后重复这个过程直到这个数变为 1，也可能是无限循环但始终变不到 1。如果可以变为 1，那么这个数就是快乐数。,"核心在于如何找到循环。
1. 用一个set存储见过的平方和，发生重复时结束。空间占用大。
2. “快慢指针”思想。空间复杂度O(1)",√,,https://leetcode-cn.com/problems/happy-number
204,计数质数,哈希表、数学,easy,统计所有小于非负整数 n 的质数的数量。,"1. 暴力法。但只考虑奇数。
2. 厄拉多塞筛法",√,,https://leetcode-cn.com/problems/count-primes
141,环形链表,,easy,给定一个链表，判断链表中是否有环。,"1. 哈希表, O(n), O(n)
2. 快慢指针 O(n), O(1)",√√,,https://leetcode-cn.com/problems/linked-list-cycle/
118,杨辉三角,数组,easy,"给定一个非负整数 numRows，生成杨辉三角的前 numRows 行。
在杨辉三角中，每个数是它左上方和右上方的数的和。
","动态规划，O(n^2), O(n^2)",√√,,https://leetcode-cn.com/problems/pascals-triangle/
234,回文链表,链表、双指针,easy,请判断一个链表是否为回文链表。,"1. 转成vector暴力匹配，O(n), O(n)
2. 快慢指针，反转前半部分链表。O(n), O(1)",√,,https://leetcode-cn.com/problems/palindrome-linked-list/
104,二叉树的最大深度,树、DFS,easy,给定一个二叉树，找出其最大深度。,"1. 递归.DFS, O(n), O(logn)
2. 使用栈做迭代的DFS，O(n), O(n)",√√,,https://leetcode-cn.com/problems/maximum-depth-of-binary-tree/
101,对称二叉树,树、BFS,easy,给定一个二叉树，检查它是否是镜像对称的。,"1. 递归，检测左右子树是否互为镜像。O(n), O(n)
2. 使用队列做迭代，O(n), O(n)，构建两个队列，以相反的顺序插入节点。",×,,https://leetcode-cn.com/problems/symmetric-tree/
155,最小栈,栈、设计,easy,设计一个支持 push，pop，top 操作，并能在常数时间内检索到最小元素的栈。,使用变量或辅助栈存储当前的最小值,√√,,https://leetcode-cn.com/problems/min-stack/
14,最长公共前缀,字符串,easy,编写一个函数来查找字符串数组中的最长公共前缀。,"1. 水平扫描法。先找前两个，前两个再跟第三个找LCS，以此类推。O(S),O(1). S为所有字符数量和。
2. 逐个字符比较，复杂度一样，但是也很慢
3. 分治法，类似归并排序一样。时间复杂度最坏情况下不变，空间O(mlog(n)),
4. 二分查找法，用二分法找到最大长度L，时间O(Slog(n)), 空间O(1)",√,,https://leetcode-cn.com/problems/longest-common-prefix/
136,只出现一次的数字,位运算、哈希表,easy,给定一个非空整数数组，除了某个元素只出现一次以外，其余每个元素均出现两次。找出那个只出现了一次的元素。,"1. 哈希表，O(n), O(n)
2. 位运算，O(n), O(1)。所有的数直接做异或操作",√,,https://leetcode-cn.com/problems/single-number/
198,打家劫舍,动态规划,easy,"你是一个专业的小偷，计划偷窃沿街的房屋。每间房内都藏有一定的现金，影响你偷窃的唯一制约因素就是相邻的房屋装有相互连通的防盗系统，如果两间相邻的房屋在同一晚上被小偷闯入，系统会自动报警。
给定一个代表每个房屋存放金额的非负整数数组，计算你在不触动警报装置的情况下，能够偷窃到的最高金额。","动态规划，currentMax = max(num + prepreMax, preMax); 即每一步都分为抢当前的和不抢当前的两种情况。O(n), O(1)",√√,,https://leetcode-cn.com/problems/house-robber/
69,x的平方根,数学、二分查找,easy,实现 int sqrt(int x) 函数。小数部分舍去,"1. 二分检索,O(logn), O(1)
2. 牛顿法, ",√,,https://leetcode-cn.com/problems/sqrtx/
28,报数,字符串,easy,"报数序列是一个整数序列，按照其中的整数的顺序进行报数，得到下一个数。
1.     1
2.     11
3.     21
4.     1211
5.     111221",正常循环迭代即可，也可用递归，没什么意义的题，核心就是字符串处理,√√,,https://leetcode-cn.com/problems/count-and-say/
169,求众数,位运算、分治法,easy,给定一个大小为 n 的数组，找到其中的多数元素。多数元素是指在数组中出现次数大于 ⌊ n/2 ⌋ 的元素。,"1. 摩尔投票法：直接设置一个buffer和一个count，如果下个数跟前一个一样则count++，否则--，count为0则更换buffer为当前数。O(n), O(1)
2. 预排序，取中位数。O(nlogn), O(n)
3. 哈希表，O(n), O(n)
4. 分治法，求左右两边的众数",√√,,https://leetcode-cn.com/problems/majority-element/
160,相交链表,链表,easy,编写一个程序，找到两个单链表相交的起始节点。,"双指针法，O(n), O(1)
根据原理 a + all + b = b + all + a
顺序遍历，当a到结尾时从b头开始遍历，对b同理，如果一轮结束两者还没有共同交点，则无交点。",√,,https://leetcode-cn.com/problems/intersection-of-two-linked-lists/
28,实现subStr(),字符串、双指针,easy,判断一个字符串是不是另一个的subString,"1. KMP 算法
2. Sunday算法（未尝试）",√×,,
13,罗马数字转整数,字符串,easy,"需要考虑IV,IX等等",创建一个哈希表，直接检索。第二轮要练习使用c++的哈希表配合字符串操作，熟悉stl，而不是只用if else,√,,https://leetcode-cn.com/problems/roman-to-integer/
344,反转字符串,字符串,easy,"编写一个函数，其作用是将输入的字符串反转过来。输入字符串以字符数组 char[] 的形式给出。
不要给另外的数组分配额外的空间，你必须原地修改输入数组、使用 O(1) 的额外空间解决这一问题。",直接镜像互换就行了，算出目标位置，对应位置直接调换。,√√,,https://leetcode-cn.com/problems/reverse-string/
108,有序数组转化为二叉搜索树,树、DFS,easy,将一个按照升序排列的有序数组，转换为一棵高度平衡二叉搜索树。,"1. 直接递归
2. 别的没看",√,,https://leetcode-cn.com/problems/best-time-to-buy-and-sell-stock-ii/
122,买卖股票的最佳时机 II,贪心算法,easy,"给定一个数组，它的第 i 个元素是一支给定股票第 i 天的价格。
设计一个算法来计算你所能获取的最大利润。你可以尽可能地完成更多的交易（多次买卖一支股票）。",贪心算法，直接逢低买入，逢高卖出即可,√√,,https://leetcode-cn.com/problems/best-time-to-buy-and-sell-stock-ii/
108,将有序数组转换为二叉搜索树,树、DFS,easy,将一个按照升序排列的有序数组，转换为一棵高度平衡二叉搜索树。,"1. 递归、或迭代
2. 栈DFS、或队列BFS（第二轮要看一下）",√,,https://leetcode-cn.com/problems/convert-sorted-array-to-binary-search-tree/
371,两整数之和,位运算,easy,不使用运算符 + 和 - ​​​​​​​，计算两整数 ​​​​​​​a 、b ​​​​​​​之和。,先算出不进位的结果，再算出进位的结果,×,,https://leetcode-cn.com/problems/sum-of-two-integers/
26,删除排序数组中的重复项,数组、双指针,easy,给定一个排序数组，你需要在原地删除重复出现的元素，使得每个元素只出现一次，返回移除后数组的新长度。不适用额外空间,双指针，直接挪就可以了。,√√,,https://leetcode-cn.com/problems/remove-duplicates-from-sorted-array/
125,验证回文串,字符串、双指针,easy,给定一个字符串，验证它是否是回文串，只考虑字母和数字字符，可以忽略字母的大小写。,双指针，直接一个头一个尾判断即可，注意用transform()函数先转换为小写，遇到空格跳过即可,√√,,https://leetcode-cn.com/problems/valid-palindrome
237,删除链表中的节点,链表,easy,删除链表中的一个非尾节点的节点，但只给了该节点，而没有头指针。,脑筋急转弯，把下一个node的值复制到当前node，将下一个node删除即可,√√,,https://leetcode-cn.com/problems/delete-node-in-a-linked-list
350,两个数组的交集 II,排序、哈希表、双指针、二分查找,easy,给定两个数组，编写一个函数来计算它们的交集。,"1. 预排序
2. 哈希表，空间换时间",√√,,https://leetcode-cn.com/problems/intersection-of-two-arrays-ii/
387,字符串中的第一个唯一字符,字符串、哈希表,easy,给定一个字符串，找到它的第一个不重复的字符，并返回它的索引。如果不存在，则返回 -1。,"直接拿哈希表做就行了，时间O(n), 空间O(n)",√√,,https://leetcode-cn.com/problems/first-unique-character-in-a-string
189,旋转数组,数组,easy,给定一个数组，将数组中的元素向右移动 k 个位置，其中 k 是非负数。,方法很巧妙，先将数组反转，再将前k个和后n-k个分别反转即可。三次反转操作。时间O(n)，空间O(1),×,,https://leetcode-cn.com/problems/rotate-array
171,Excel表列序号,数学,easy,给定一个Excel表格中的列名称，返回其相应的列序号。,其实就是相当于26进制转10进制,√√,,https://leetcode-cn.com/problems/excel-sheet-column-number/
172,阶乘后的0,数学,easy,给定一个整数 n，返回 n! 结果尾数中零的数量。,数论题，第一次没想到。其实是数含5的因数的数量，而且对25，625..等5的幂要多算一次,×,,https://leetcode-cn.com/problems/factorial-trailing-zeroes/
283,移动零,数组、双指针,easy,给定一个数组 nums，编写一个函数将所有 0 移动到数组的末尾，同时保持非零元素的相对顺序。,跟前边题号26一样。把后边的数都压缩到前边，最后的空位拿0填上就行了,√√,,https://leetcode-cn.com/problems/move-zeroes/
268,缺失数字,位运算、数组、数学,easy,"给定一个包含 0, 1, 2, ..., n 中 n 个数的序列，找出 0 .. n 中没有出现在序列中的那个数。",算出理论的和（根据size），再算出实际和，求差就行了。,√×,,https://leetcode-cn.com/problems/missing-number/
271,存在重复元素,数组、哈希表,easy,给定一个整数数组，判断是否存在重复元素。,"直接建哈希表，空间换时间。时间O(n), 空间O(n)",√√,,https://leetcode-cn.com/problems/contains-duplicate/
242,有效字母的异位词,排序、哈希表,easy,给定两个字符串 s 和 t ，编写一个函数来判断 t 是否是 s 的字母异位词(anagram)。,"1. 哈希表，空间换时间,O(n), O(n)
2. 预排序，O(nlogn)，O(1)",√√,,https://leetcode-cn.com/problems/valid-anagram/
66,加一,数组,easy,给定一个由整数组成的非空数组所表示的非负整数，在该数的基础上加一。,关键是判断进位，逢9进一,√√,,https://leetcode-cn.com/problems/plus-one/
190,颠倒二进制位,位运算,easy,颠倒给定的 32 位无符号整数的二进制位。,建一个mask用与运算一位一位的取，把它放到该放的位置即可,√√,,https://leetcode-cn.com/problems/reverse-bits/
